seed,class,fedavg_f1,fedprox_f1,delta
42,actinic,0.48951048951048953,0.5,0.010489510489510467
42,basal,0.48598130841121495,0.5025641025641026,0.016582794152887603
42,benign_kerat,0.36421725239616615,0.410958904109589,0.04674165171342287
42,dermato,0.0,0.2727272727272727,0.2727272727272727
42,melanoma,0.2917933130699088,0.3498542274052478,0.058060914335339
42,mel_nevi,0.8796992481203008,0.8875739644970414,0.007874716376740643
42,vascular,0.6229508196721312,0.6896551724137931,0.06670435274166198
123,actinic,0.5285714285714286,0.4897959183673469,-0.038775510204081653
123,basal,0.5209302325581395,0.4827586206896552,-0.038171611868484334
123,benign_kerat,0.4352078239608802,0.3965014577259475,-0.038706366234932676
123,dermato,0.2857142857142857,0.2727272727272727,-0.012987012987012991
123,melanoma,0.060085836909871244,0.2929936305732484,0.23290779366337716
123,mel_nevi,0.8859289617486339,0.8848945731075009,-0.0010343886411330327
123,vascular,0.76,0.6666666666666666,-0.09333333333333338
456,actinic,0.3877551020408163,0.42105263157894735,0.03329752953813103
456,basal,0.4972375690607735,0.5226130653266332,0.02537549626585972
456,benign_kerat,0.47010309278350515,0.44321329639889195,-0.026889796384613196
456,dermato,0.4067796610169492,0.3,-0.10677966101694919
456,melanoma,0.13545816733067728,0.30344827586206896,0.16799010853139168
456,mel_nevi,0.8838015955601803,0.8920863309352518,0.008284735375071461
456,vascular,0.7924528301886793,0.6938775510204082,-0.09857527916827113
789,actinic,0.4,0.44642857142857145,0.04642857142857143
789,basal,0.45348837209302323,0.4457831325301205,-0.007705239562902755
789,benign_kerat,0.4778761061946903,0.48514851485148514,0.007272408656794849
789,dermato,0.46511627906976744,0.36363636363636365,-0.10147991543340379
789,melanoma,0.25874125874125875,0.27796610169491526,0.019224842953656507
789,mel_nevi,0.8796966563254051,0.8883561643835617,0.008659508058156629
789,vascular,0.7213114754098361,0.6086956521739131,-0.11261582323592301
999,actinic,0.423728813559322,0.47692307692307695,0.053194263363754934
999,basal,0.5263157894736842,0.4787234042553192,-0.04759238521836501
999,benign_kerat,0.42201834862385323,0.49222797927461137,0.07020963065075814
999,dermato,0.22727272727272727,0.24,0.012727272727272726
999,melanoma,0.13008130081300814,0.31921824104234525,0.1891369402293371
999,mel_nevi,0.8837530182821662,0.8893499308437067,0.00559691256154049
999,vascular,0.7241379310344828,0.631578947368421,-0.09255898366606174
2024,actinic,0.5179856115107914,0.5467625899280576,0.02877697841726623
2024,basal,0.5158371040723982,0.45901639344262296,-0.056820710629775284
2024,benign_kerat,0.43315508021390375,0.45938375350140054,0.026228673287496784
2024,dermato,0.13793103448275862,0.23529411764705882,0.0973630831643002
2024,melanoma,0.16,0.27564102564102566,0.11564102564102566
2024,mel_nevi,0.8863250763488293,0.8880520369736392,0.0017269606248099256
2024,vascular,0.64,0.6875,0.04749999999999999
31337,actinic,0.23376623376623376,0.4406779661016949,0.20691173233546115
31337,basal,0.4662576687116564,0.45977011494252873,-0.006487553769127685
31337,benign_kerat,0.46547314578005117,0.4883116883116883,0.02283854253163714
31337,dermato,0.39285714285714285,0.35,-0.04285714285714287
31337,melanoma,0.32044198895027626,0.32934131736526945,0.00889932841499319
31337,mel_nevi,0.8900414937759336,0.8806896551724138,-0.009351838603519735
31337,vascular,0.6086956521739131,0.711864406779661,0.10316875460574793
161803,actinic,0.47058823529411764,0.5,0.02941176470588236
161803,basal,0.4083769633507853,0.4574468085106383,0.049069845159852965
161803,benign_kerat,0.42857142857142855,0.43967828418230565,0.011106855610877098
161803,dermato,0.26666666666666666,0.17647058823529413,-0.09019607843137253
161803,melanoma,0.06751054852320675,0.2671009771986971,0.19959042867549032
161803,mel_nevi,0.8827247191011236,0.8836413415468857,0.000916622445762072
161803,vascular,0.8148148148148148,0.7037037037037037,-0.11111111111111105
271828,actinic,0.38202247191011235,0.422360248447205,0.04033777653709264
271828,basal,0.48044692737430167,0.43478260869565216,-0.04566431867864951
271828,benign_kerat,0.46215139442231074,0.36942675159235666,-0.09272464282995407
271828,dermato,0.4,0.35294117647058826,-0.047058823529411764
271828,melanoma,0.12549019607843137,0.29375,0.16825980392156864
271828,mel_nevi,0.8846685082872928,0.8802721088435375,-0.004396399443755361
271828,vascular,0.6938775510204082,0.7017543859649122,0.007876834944504085
8675309,actinic,0.20512820512820512,0.46875,0.2636217948717949
8675309,basal,0.3924050632911392,0.48936170212765956,0.09695663883652034
8675309,benign_kerat,0.4426229508196721,0.4527363184079602,0.01011336758828807
8675309,dermato,0.25,0.4,0.15000000000000002
8675309,melanoma,0.31666666666666665,0.2977346278317152,-0.018932038834951426
8675309,mel_nevi,0.8802456499488229,0.88125,0.0010043500511770498
8675309,vascular,0.5974025974025974,0.7619047619047619,0.16450216450216448
